Model,MAE,RMSE,R2
"Random Forest (FE, pooled)",585788.1583318303,1279278.587366195,0.5868020033249816
Moving Average (4),612119.4461363635,1309287.2691791875,0.5671894524581126
LSTM (pooled + cal + shop),645347.2411354216,1338609.967256524,0.5475859802713936
"GradientBoosting (FE, pooled)",604399.9753855024,1372581.0259312706,0.524332008531029
"SARIMA(1,1,1)x(1,1,1,52)",703283.7599083874,1411437.693834416,0.49701924450494894
Prophet (weekly+yearly),679648.3906742655,1411875.340883681,0.49670727583329966
"SVR (FE, pooled)",723996.8386062067,1460450.679525359,0.4614801252935694
Naive (last),995754.9002272728,2218042.8976672203,-0.24213222345907237
